caseID,taskID,originator,eventtype,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK,date,time
419,InformClientSurvey,System,complete,,,,,,,,2020-01-06,11:51
561,ArrangeSurvey,Monica,complete,,,,,,,,2020-01-07,13:48
902,ReadyInformClient,System,complete,,,,,,,TRUE,2020-01-08,16:20
18,Survey,Edd,start,,,,,,,,2020-01-09,6:55
852,Survey,Edd,complete,,,,TRUE,240,1,,2020-01-10,11:33
450,TicketReady,System,complete,,,,,,,,2020-01-11,21:48
521,MakeTicket,Dian,complete,,E,13,,,,,2020-01-12,20:30
89,Survey,Anne,start,,,,,,,,2020-01-13,14:40
604,MakeTicket,Monica,start,,,,,,,,2020-01-14,18:37
610,InternRepair,Cindy,start,,,,,,,,2020-01-15,8:33
460,ArrangeSurvey,Dian,complete,,,,,,,,2020-01-16,8:37
870,TicketReady,System,complete,,,,,,,,2020-01-17,15:49
340,ArrangeSurvey,Dian,start,,,,,,,,2020-01-18,23:18
516,FirstContact,Dian,complete,Phone,,,,,,,2020-01-19,12:40
325,RepairReady,System,complete,,,,,,,TRUE,2020-01-20,20:00
752,SendTicketToFinAdmin,System,complete,,,,,,,,2020-01-21,13:38
65,Survey,Cindy,start,,,,,,,,2020-01-22,4:02
447,FirstContact,Monica,complete,Phone,,,,,,,2020-01-23,22:19
863,SendTicketToFinAdmin,System,complete,,,,,,,,2020-01-24,0:21
882,FirstContact,Dian,complete,Personal,,,,,,,2020-01-25,11:37
934,Survey,John,start,,,,,,,,2020-01-26,11:25
100,ArrangeSurvey,Monica,complete,,,,,,,,2020-01-27,23:21
897,MakeTicket,Dian,start,,,,,,,,2020-01-28,4:09
533,TicketReady,System,complete,,,,,,,,2020-01-29,22:14
724,ArrangeSurvey,Dian,start,,,,,,,,2020-01-30,9:12
545,InformClientSurvey,System,complete,,,,,,,,2020-01-31,5:59
712,ArrangeSurvey,Dian,start,,,,,,,,2020-02-01,12:23
815,MakeTicket,Monica,start,,,,,,,,2020-02-02,16:40
809,InformClientWrongPlace,Dian,complete,,,,,,,,2020-02-03,7:43
759,ImmediateRepair,Barbara,start,,,,,,,,2020-02-04,23:05
254,InformClientSurvey,System,complete,,,,,,,,2020-02-05,22:56
928,MakeTicket,Monica,start,,,,,,,,2020-02-06,22:19
708,InternRepair,Cindy,complete,,,,,,,,2020-02-07,11:54
58,InformClientSurvey,System,complete,,,,,,,,2020-02-08,23:20
813,TicketReady,System,complete,,,,,,,,2020-02-09,7:44
619,SendTicketToFinAdmin,System,complete,,,,,,,,2020-02-10,13:04
373,MakeTicket,Monica,complete,,P,8267,,,,,2020-02-11,5:38
253,ReadyInformClient,System,complete,,,,,,,TRUE,2020-02-12,22:48
384,ReadyInformClient,System,complete,,,,,,,TRUE,2020-02-13,10:47
109,RepairReady,System,complete,,,,,,,TRUE,2020-02-14,12:24
176,Survey,Nick,start,,,,,,,,2020-02-15,11:12
66,ReadyInformClient,System,complete,,,,,,,TRUE,2020-02-16,21:36
587,InformClientSurvey,System,complete,,,,,,,,2020-02-17,17:05
660,ArrangeSurvey,Dian,start,,,,,,,,2020-02-18,11:21
25,InformClientSurvey,System,complete,,,,,,,,2020-02-19,7:53
505,Survey,Ben,start,,,,,,,,2020-02-20,15:09
473,MakeTicket,Dian,complete,,E,2631,,,,,2020-02-21,19:47
581,ArrangeSurvey,Dian,complete,,,,,,,,2020-02-22,19:56
867,ExternRepair,DoIt,start,,,,,,,,2020-02-23,20:30
130,TicketReady,System,complete,,,,,,,,2020-02-24,6:57
974,MakeTicket,Monica,complete,,P,5811,,,,,2020-02-25,15:44
195,MakeTicket,Dian,complete,,P,4247,,,,,2020-02-26,11:08
39,SendTicketToFinAdmin,System,complete,,,,,,,,2020-02-27,20:31
