,caseID,taskID,originator,eventtype,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK,date,time
0,419,InformClientSurvey,System,complete,,,,,,,,2020-01-06,11:51
1,561,ArrangeSurvey,Monica,complete,,,,,,,,2020-01-07,13:48
2,902,ReadyInformClient,System,complete,,,,,,,True,2020-01-08,16:20
3,18,Survey,Edd,start,,,,,,,,2020-01-09,6:55
4,852,Survey,Edd,complete,,,,True,240.0,1.0,,2020-01-10,11:33
5,450,TicketReady,System,complete,,,,,,,,2020-01-11,21:48
6,521,MakeTicket,Dian,complete,,E,13.0,,,,,2020-01-12,20:30
7,89,Survey,Anne,start,,,,,,,,2020-01-13,14:40
8,604,MakeTicket,Monica,start,,,,,,,,2020-01-14,18:37
9,610,InternRepair,Cindy,start,,,,,,,,2020-01-15,8:33
10,460,ArrangeSurvey,Dian,complete,,,,,,,,2020-01-16,8:37
11,870,TicketReady,System,complete,,,,,,,,2020-01-17,15:49
12,340,ArrangeSurvey,Dian,start,,,,,,,,2020-01-18,23:18
13,516,FirstContact,Dian,complete,Phone,,,,,,,2020-01-19,12:40
14,325,RepairReady,System,complete,,,,,,,True,2020-01-20,20:00
15,752,SendTicketToFinAdmin,System,complete,,,,,,,,2020-01-21,13:38
16,65,Survey,Cindy,start,,,,,,,,2020-01-22,4:02
17,447,FirstContact,Monica,complete,Phone,,,,,,,2020-01-23,22:19
18,863,SendTicketToFinAdmin,System,complete,,,,,,,,2020-01-24,0:21
19,882,FirstContact,Dian,complete,Personal,,,,,,,2020-01-25,11:37
20,934,Survey,John,start,,,,,,,,2020-01-26,11:25
21,100,ArrangeSurvey,Monica,complete,,,,,,,,2020-01-27,23:21
22,897,MakeTicket,Dian,start,,,,,,,,2020-01-28,4:09
23,533,TicketReady,System,complete,,,,,,,,2020-01-29,22:14
24,724,ArrangeSurvey,Dian,start,,,,,,,,2020-01-30,9:12
25,545,InformClientSurvey,System,complete,,,,,,,,2020-01-31,5:59
26,712,ArrangeSurvey,Dian,start,,,,,,,,2020-02-01,12:23
27,815,MakeTicket,Monica,start,,,,,,,,2020-02-02,16:40
28,809,InformClientWrongPlace,Dian,complete,,,,,,,,2020-02-03,7:43
29,759,ImmediateRepair,Barbara,start,,,,,,,,2020-02-04,23:05
30,254,InformClientSurvey,System,complete,,,,,,,,2020-02-05,22:56
31,928,MakeTicket,Monica,start,,,,,,,,2020-02-06,22:19
32,708,InternRepair,Cindy,complete,,,,,,,,2020-02-07,11:54
33,58,InformClientSurvey,System,complete,,,,,,,,2020-02-08,23:20
34,813,TicketReady,System,complete,,,,,,,,2020-02-09,7:44
35,619,SendTicketToFinAdmin,System,complete,,,,,,,,2020-02-10,13:04
36,373,MakeTicket,Monica,complete,,P,8267.0,,,,,2020-02-11,5:38
37,253,ReadyInformClient,System,complete,,,,,,,True,2020-02-12,22:48
38,384,ReadyInformClient,System,complete,,,,,,,True,2020-02-13,10:47
39,109,RepairReady,System,complete,,,,,,,True,2020-02-14,12:24
40,176,Survey,Nick,start,,,,,,,,2020-02-15,11:12
41,66,ReadyInformClient,System,complete,,,,,,,True,2020-02-16,21:36
42,587,InformClientSurvey,System,complete,,,,,,,,2020-02-17,17:05
43,660,ArrangeSurvey,Dian,start,,,,,,,,2020-02-18,11:21
44,25,InformClientSurvey,System,complete,,,,,,,,2020-02-19,7:53
45,505,Survey,Ben,start,,,,,,,,2020-02-20,15:09
46,473,MakeTicket,Dian,complete,,E,2631.0,,,,,2020-02-21,19:47
47,581,ArrangeSurvey,Dian,complete,,,,,,,,2020-02-22,19:56
48,867,ExternRepair,DoIt,start,,,,,,,,2020-02-23,20:30
49,130,TicketReady,System,complete,,,,,,,,2020-02-24,6:57
50,974,MakeTicket,Monica,complete,,P,5811.0,,,,,2020-02-25,15:44
51,195,MakeTicket,Dian,complete,,P,4247.0,,,,,2020-02-26,11:08
52,39,SendTicketToFinAdmin,System,complete,,,,,,,,2020-02-27,20:31
53,372,FirstContact,Monica,complete,Letter,,,,,,,2020-02-28,1:25
54,192,TicketReady,System,complete,,,,,,,,2020-02-29,4:11
55,197,ImmediateRepair,Anne,start,,,,,,,,2020-03-01,20:34
56,414,ArrangeSurvey,Dian,complete,,,,,,,,2020-03-02,4:33
57,291,ArrangeSurvey,Monica,complete,,,,,,,,2020-03-03,20:08
58,289,MakeTicket,Monica,complete,,P,2038.0,,,,,2020-03-04,14:55
59,868,MakeTicket,Monica,complete,,E,4017.0,,,,,2020-03-05,5:15
60,366,InformClientSurvey,System,complete,,,,,,,,2020-03-06,0:20
61,726,InternRepair,Paul,start,,,,,,,,2020-03-07,9:37
62,591,Survey,Paul,complete,,,,True,240.0,1.0,,2020-03-08,22:38
63,857,SendTicketToFinAdmin,System,complete,,,,,,,,2020-03-09,8:05
64,541,ArrangeSurvey,Monica,complete,,,,,,,,2020-03-10,3:38
65,176,RepairReady,System,complete,,,,,,,True,2020-03-11,15:17
66,336,SendTicketToFinAdmin,System,complete,,,,,,,,2020-03-12,11:06
67,598,InternRepair,Eric,start,,,,,,,,2020-03-13,3:53
68,765,Survey,Cindy,start,,,,,,,,2020-03-14,23:15
69,220,RepairReady,System,complete,,,,,,,True,2020-03-15,22:11
70,915,ArrangeSurvey,Monica,start,,,,,,,,2020-03-16,8:05
71,936,InternRepair,Edd,complete,,,,,,,,2020-03-17,22:15
72,585,InformClientSurvey,System,complete,,,,,,,,2020-03-18,3:38
73,287,ReadyInformClient,System,complete,,,,,,,True,2020-03-19,14:07
74,275,ArrangeSurvey,Dian,start,,,,,,,,2020-03-20,4:25
75,444,RepairReady,System,complete,,,,,,,True,2020-03-21,18:14
76,153,Survey,Anne,complete,,,,True,120.0,3.0,,2020-03-22,3:43
77,452,Survey,Anne,complete,,,,True,120.0,1.0,,2020-03-23,18:52
78,845,Survey,Anne,start,,,,,,,,2020-03-24,11:44
79,409,SendTicketToFinAdmin,System,complete,,,,,,,,2020-03-25,17:49
80,2,ImmediateRepair,Anne,complete,,,,,,,,2020-03-26,6:57
81,319,RepairReady,System,complete,,,,,,,True,2020-03-27,19:04
82,982,RepairReady,System,complete,,,,,,,True,2020-03-28,22:36
83,604,InternRepair,Jacky,complete,,,,,,,,2020-03-29,12:46
84,790,SendTicketToFinAdmin,System,complete,,,,,,,,2020-03-30,6:59
85,89,InformClientSurvey,System,complete,,,,,,,,2020-03-31,11:15
86,562,MakeTicket,Monica,start,,,,,,,,2020-04-01,3:53
87,851,Survey,Lex,complete,,,,True,240.0,2.0,,2020-04-02,17:03
88,328,MakeTicket,Monica,start,,,,,,,,2020-04-03,6:03
89,433,MakeTicket,Monica,start,,,,,,,,2020-04-04,14:31
90,672,Survey,Barbara,start,,,,,,,,2020-04-05,1:05
91,111,Survey,Edd,start,,,,,,,,2020-04-06,2:47
92,476,InformClientSurvey,System,complete,,,,,,,,2020-04-07,20:10
93,114,ArrangeSurvey,Dian,complete,,,,,,,,2020-04-08,7:10
94,137,MakeTicket,Monica,complete,,P,8375.0,,,,,2020-04-09,15:24
95,826,ArrangeSurvey,Monica,complete,,,,,,,,2020-04-10,21:23
96,11,InformClientSurvey,System,complete,,,,,,,,2020-04-11,6:58
97,420,InternRepair,Paul,complete,,,,,,,,2020-04-12,11:27
98,398,ArrangeSurvey,Dian,complete,,,,,,,,2020-04-13,10:23
99,847,InternRepair,Cindy,start,,,,,,,,2020-04-14,0:30
100,654,ImmediateRepair,Anne,start,,,,,,,,2020-04-15,19:27
101,160,MakeTicket,Monica,complete,,E,317.0,,,,,2020-04-16,5:22
102,320,InformClientSurvey,System,complete,,,,,,,,2020-04-17,6:47
103,36,SendTicketToFinAdmin,System,complete,,,,,,,,2020-04-18,2:23
104,30,Survey,Anne,complete,,,,False,360.0,4.0,,2020-04-19,18:24
105,153,ImmediateRepair,Anne,start,,,,,,,,2020-04-20,3:43
106,664,InternRepair,Eric,start,,,,,,,,2020-04-21,9:25
107,538,ImmediateRepair,Anne,complete,,,,,,,,2020-04-22,6:09
108,872,MakeTicket,Dian,start,,,,,,,,2020-04-23,7:33
109,50,Survey,Anne,start,,,,,,,,2020-04-24,7:56
110,337,ReadyInformClient,System,complete,,,,,,,True,2020-04-25,2:13
111,186,SendTicketToFinAdmin,System,complete,,,,,,,,2020-04-26,11:37
112,636,ReadyInformClient,System,complete,,,,,,,True,2020-04-27,1:34
113,623,ArrangeSurvey,Monica,complete,,,,,,,,2020-04-28,22:01
114,778,Survey,Cindy,start,,,,,,,,2020-04-29,19:28
115,329,InternRepair,Eric,complete,,,,,,,,2020-04-30,16:48
116,875,FirstContact,Monica,complete,Personal,,,,,,,2020-05-01,7:11
117,84,MakeTicket,Monica,start,,,,,,,,2020-05-02,12:42
118,368,ReadyInformClient,System,complete,,,,,,,True,2020-05-03,1:22
119,30,ArrangeSurvey,Monica,start,,,,,,,,2020-05-04,3:22
120,763,ImmediateRepair,Anne,complete,,,,,,,,2020-05-05,14:12
121,259,Survey,John,complete,,,,True,220.0,2.0,,2020-05-06,14:19
122,279,InternRepair,Cindy,complete,,,,,,,,2020-05-07,11:08
123,271,MakeTicket,Dian,start,,,,,,,,2020-05-08,0:00
124,527,ImmediateRepair,Anne,start,,,,,,,,2020-05-09,7:33
125,515,TicketReady,System,complete,,,,,,,,2020-05-10,17:33
126,406,RepairReady,System,complete,,,,,,,True,2020-05-11,23:03
127,479,MakeTicket,Dian,complete,,E,2994.0,,,,,2020-05-12,23:27
128,231,FirstContact,Monica,complete,Web,,,,,,,2020-05-13,3:05
129,373,ArrangeSurvey,Monica,start,,,,,,,,2020-05-14,5:38
130,381,FirstContact,Dian,complete,Web,,,,,,,2020-05-15,12:13
131,114,TicketReady,System,complete,,,,,,,,2020-05-16,6:42
132,750,SendTicketToFinAdmin,System,complete,,,,,,,,2020-05-17,1:44
133,575,TicketReady,System,complete,,,,,,,,2020-05-18,10:22
134,551,MakeTicket,Dian,complete,,P,3870.0,,,,,2020-05-19,6:14
135,209,ArrangeSurvey,Dian,complete,,,,,,,,2020-05-20,21:24
136,915,FirstContact,Monica,complete,Web,,,,,,,2020-05-21,8:01
137,590,MakeTicket,Dian,start,,,,,,,,2020-05-22,8:08
138,525,RepairReady,System,complete,,,,,,,True,2020-05-23,20:07
139,207,ArrangeSurvey,Dian,start,,,,,,,,2020-05-24,8:50
140,957,RepairReady,System,complete,,,,,,,True,2020-05-25,14:24
141,829,FirstContact,Monica,complete,Phone,,,,,,,2020-05-26,9:10
142,108,SendTicketToFinAdmin,System,complete,,,,,,,,2020-05-27,0:33
143,732,TicketReady,System,complete,,,,,,,,2020-05-28,13:56
144,135,InternRepair,John,start,,,,,,,,2020-05-29,12:55
145,73,InternRepair,John,start,,,,,,,,2020-05-30,0:56
146,32,MakeTicket,Monica,complete,,P,5759.0,,,,,2020-05-31,21:06
147,554,MakeTicket,Monica,start,,,,,,,,2020-06-01,21:00
148,60,RepairReady,System,complete,,,,,,,True,2020-06-02,15:52
149,945,ArrangeSurvey,Dian,complete,,,,,,,,2020-06-03,8:23
150,139,TicketReady,System,complete,,,,,,,,2020-06-04,20:42
151,828,ArrangeSurvey,Monica,start,,,,,,,,2020-06-05,12:46
152,9,MakeTicket,Dian,start,,,,,,,,2020-06-06,19:08
153,724,FirstContact,Dian,complete,Personal,,,,,,,2020-06-07,9:03
154,727,SendTicketToFinAdmin,System,complete,,,,,,,,2020-06-08,10:33
155,418,SendTicketToFinAdmin,System,complete,,,,,,,,2020-06-09,17:00
156,865,FirstContact,Dian,complete,Phone,,,,,,,2020-06-10,23:33
157,570,InternRepair,Eric,complete,,,,,,,,2020-06-11,22:10
158,350,TicketReady,System,complete,,,,,,,,2020-06-12,2:57
159,60,InternRepair,Paul,start,,,,,,,,2020-06-13,11:28
160,207,MakeTicket,Dian,complete,,P,5374.0,,,,,2020-06-14,8:50
161,796,RepairReady,System,complete,,,,,,,True,2020-06-15,8:31
162,888,InternRepair,Edd,complete,,,,,,,,2020-06-16,23:14
163,489,ReadyInformClient,System,complete,,,,,,,True,2020-06-17,22:33
164,527,Survey,Anne,start,,,,,,,,2020-06-18,6:42
165,640,Survey,Anne,complete,,,,True,120.0,1.0,,2020-06-19,0:09
166,580,ArrangeSurvey,Monica,complete,,,,,,,,2020-06-20,6:23
167,347,SendTicketToFinAdmin,System,complete,,,,,,,,2020-06-21,4:09
168,265,RepairReady,System,complete,,,,,,,True,2020-06-22,18:39
169,205,ImmediateRepair,Jacky,complete,,,,,,,,2020-06-23,11:34
170,137,TicketReady,System,complete,,,,,,,,2020-06-24,19:53
171,185,ReadyInformClient,System,complete,,,,,,,True,2020-06-25,6:07
172,426,InternRepair,Paul,complete,,,,,,,,2020-06-26,3:39
173,280,MakeTicket,Dian,complete,,E,5720.0,,,,,2020-06-27,23:13
174,560,FirstContact,Monica,complete,Phone,,,,,,,2020-06-28,1:19
175,957,ReadyInformClient,System,complete,,,,,,,True,2020-06-29,21:03
176,428,ArrangeSurvey,Dian,start,,,,,,,,2020-06-30,12:01
177,552,FirstContact,Monica,complete,Phone,,,,,,,2020-07-01,4:20
178,839,Survey,Nick,complete,,,,True,240.0,2.0,,2020-07-02,12:26
179,821,MakeTicket,Monica,complete,,P,3700.0,,,,,2020-07-03,1:02
180,376,Survey,Ben,complete,,,,True,160.0,3.0,,2020-07-04,20:25
181,264,Survey,Jacky,start,,,,,,,,2020-07-05,3:45
182,537,Survey,Eric,complete,,,,True,160.0,3.0,,2020-07-06,4:39
183,919,FirstContact,Dian,complete,Phone,,,,,,,2020-07-07,23:26
184,128,ReadyInformClient,System,complete,,,,,,,True,2020-07-08,1:30
185,179,InternRepair,Cindy,start,,,,,,,,2020-07-09,2:58
186,948,ReadyInformClient,System,complete,,,,,,,True,2020-07-10,16:04
187,495,InternRepair,Anne,start,,,,,,,,2020-07-11,18:42
188,181,MakeTicket,Dian,start,,,,,,,,2020-07-12,4:33
189,617,SendTicketToFinAdmin,System,complete,,,,,,,,2020-07-13,4:51
190,102,SendTicketToFinAdmin,System,complete,,,,,,,,2020-07-14,19:26
191,919,ArrangeSurvey,Dian,complete,,,,,,,,2020-07-15,23:36
192,518,MakeTicket,Dian,complete,,P,9859.0,,,,,2020-07-16,21:32
193,45,FirstContact,Monica,complete,Web,,,,,,,2020-07-17,14:23
194,327,FirstContact,Dian,complete,Web,,,,,,,2020-07-18,4:37
195,28,TicketReady,System,complete,,,,,,,,2020-07-19,14:39
196,961,MakeTicket,Dian,complete,,P,3436.0,,,,,2020-07-20,16:43
197,476,MakeTicket,Dian,complete,,P,6569.0,,,,,2020-07-21,20:07
198,740,TicketReady,System,complete,,,,,,,,2020-07-22,13:19
199,735,MakeTicket,Dian,complete,,E,7217.0,,,,,2020-07-23,3:56
200,920,InformClientSurvey,System,complete,,,,,,,,2020-07-24,12:36
201,951,MakeTicket,Monica,start,,,,,,,,2020-07-25,13:23
202,750,TicketReady,System,complete,,,,,,,,2020-07-26,1:44
203,484,ExternRepair,FixIt,start,,,,,,,,2020-07-27,6:47
204,158,FirstContact,Monica,complete,Web,,,,,,,2020-07-28,18:40
205,368,MakeTicket,Monica,start,,,,,,,,2020-07-29,13:45
206,622,MakeTicket,Monica,start,,,,,,,,2020-07-30,15:09
207,440,ArrangeSurvey,Monica,start,,,,,,,,2020-07-31,23:07
208,589,ArrangeSurvey,Monica,complete,,,,,,,,2020-08-01,7:01
209,169,ArrangeSurvey,Dian,complete,,,,,,,,2020-08-02,15:10
210,46,TicketReady,System,complete,,,,,,,,2020-08-03,2:31
211,225,ArrangeSurvey,Dian,complete,,,,,,,,2020-08-04,7:38
212,861,MakeTicket,Monica,start,,,,,,,,2020-08-05,17:55
213,467,MakeTicket,Dian,complete,,B,2135.0,,,,,2020-08-06,22:34
214,555,ReadyInformClient,System,complete,,,,,,,True,2020-08-07,23:22
215,911,InternRepair,Paul,start,,,,,,,,2020-08-08,15:50
216,840,MakeTicket,Dian,start,,,,,,,,2020-08-09,4:15
217,510,InternRepair,Cindy,complete,,,,,,,,2020-08-10,23:22
218,171,RepairReady,System,complete,,,,,,,True,2020-08-11,9:06
219,196,InformClientWrongPlace,Monica,complete,,,,,,,,2020-08-12,11:58
220,552,InternRepair,Lex,complete,,,,,,,,2020-08-13,7:36
221,423,InternRepair,Cindy,start,,,,,,,,2020-08-14,12:38
222,542,ArrangeSurvey,Monica,start,,,,,,,,2020-08-15,16:37
223,884,ReadyInformClient,System,complete,,,,,,,True,2020-08-16,6:10
224,985,InternRepair,John,start,,,,,,,,2020-08-17,12:11
225,841,MakeTicket,Monica,complete,,B,2180.0,,,,,2020-08-18,10:53
226,317,ArrangeSurvey,Monica,start,,,,,,,,2020-08-19,3:12
227,295,TicketReady,System,complete,,,,,,,,2020-08-20,15:37
228,745,TicketReady,System,complete,,,,,,,,2020-08-21,19:04
229,555,Survey,Anne,complete,,,,True,120.0,1.0,,2020-08-22,17:45
230,297,RepairReady,System,complete,,,,,,,True,2020-08-23,19:28
231,685,Survey,Anne,complete,,,,True,120.0,1.0,,2020-08-24,0:15
232,960,TicketReady,System,complete,,,,,,,,2020-08-25,9:16
233,621,ReadyInformClient,System,complete,,,,,,,True,2020-08-26,3:02
234,454,RepairReady,System,complete,,,,,,,True,2020-08-27,22:41
235,945,ReadyInformClient,System,complete,,,,,,,True,2020-08-28,2:26
236,483,TicketReady,System,complete,,,,,,,,2020-08-29,23:05
237,680,MakeTicket,Monica,complete,,P,7157.0,,,,,2020-08-30,11:33
238,931,TicketReady,System,complete,,,,,,,,2020-08-31,23:22
239,955,Survey,Edd,start,,,,,,,,2020-09-01,9:04
240,976,TicketReady,System,complete,,,,,,,,2020-09-02,11:08
241,638,ImmediateRepair,Anne,start,,,,,,,,2020-09-03,16:50
242,903,SendTicketToFinAdmin,System,complete,,,,,,,,2020-09-04,10:19
